id,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
CGF-01-01,P0,1,backend,Add Neo4j & Test Dependencies,"Add spring-boot-starter-data-neo4j, neo4j-java-driver to pom.xml; add testcontainers-neo4j for integration tests. Create application.yml with Neo4j connection config and application-test.yml for test profile.","WHEN app starts with valid Neo4j config THEN establishes connection pool and verifies connectivity; WHEN Neo4j unreachable during startup THEN logs error and fails fast with diagnostic; WHEN required Neo4j config missing THEN fails startup with clear error indicating missing properties; SHALL read Neo4j connection params (URI, username, password) from application.yml; ref: specs/graph-storage/spec.md:4-34; ref: Doc/req.md:19 (§2.1 Neo4j 5.x + Spring Data Neo4j)",AUTOSERVER,Verify SDN version compatible with Neo4j 5.x per design.md Decision 1 (SDN over raw driver); Placeholder credentials must use mock values per req.md §8.3 (禁止真实密钥); Check connection pooling configuration,Rollback: revert to Spring Boot skeleton if Neo4j integration fails (design.md Rollback Strategy); Verify startup failure is clean with no partial state,已完成,已完成,已完成,已提交,,openspec/changes/core-graph-foundation/specs/graph-storage/spec.md; openspec/changes/core-graph-foundation/tasks.md:1-7; Doc/req.md:19 (§2.1 技术选型); pom.xml:23; src/main/resources/application.yml:1; src/main/resources/application-test.yml:1; src/main/java/com/rhizodelta/config/Neo4jStartupVerifier.java:13,"All subsequent phases depend on this task. Neo4j 5.x required per req.md §2.1. Decision 1: SDN chosen for Spring ecosystem integration and OGM productivity.
picked_reason:P0基础依赖是后续所有Neo4j功能的阻塞前置，优先处理以解锁全链路开发
done_at:2026-03-08
evidence:新增Neo4j/driver/testcontainers依赖并提供application.yml与application-test.yml配置，启动时执行verifyConnectivity失败快返
evidence:已配置本地 git user.name/user.email，提交阻塞已解除
blocked_resolved:git identity configured locally
validation_limited:缺少JDK17编译器（当前仅javac 1.8，运行时为JRE25），mvn编译仍无法完成
manual_test:安装JDK17后执行 JAVA_HOME=<jdk17> mvn -DskipTests compile && timeout 60s mvn test && mvn spring-boot:run -Dspring-boot.run.profiles=test
risk:medium 尚未完成真实编译与启动连通性验证"
CGF-02-01,P0,2,backend,Implement Node Entity Classes,"Create Human_Post entity with @Node (node_id UUID, content, author_id, created_at, embedding nullable). Create AI_Consensus entity with @Node (node_id UUID, summary_content, agent_version, created_at, embedding nullable). No update methods exposed — enforcing immutability.","WHEN user submits post THEN creates Human_Post with generated UUID, content, author_id, current timestamp, null embedding; WHEN system performs merge THEN creates AI_Consensus with UUID, summary, agent version, timestamp; WHEN client attempts to modify existing node content THEN system rejects (no update methods in repository); SHALL NOT provide update operations for node content after creation; WHEN duplicate node_id attempted THEN constraint violation occurs; ref: specs/node-entities/spec.md:4-45; ref: Doc/req.md:227-246 (§6.2-6.3 节点标签与必填属性); ref: Doc/req.md:104 (§3.3 验收1: 历史节点内容不被修改)",AUTOSERVER,"Decision 2: UUID v4 for node_id (not DB-generated), enables idempotency; Decision 4: immutability via app-level constraints, not DB triggers; Embedding field nullable—deferred to AI integration phase; Verify properties match req.md §6.2 mandatory fields exactly",Risk: immutability relies on application code not DB constraints (design.md Risk); Mitigation: integration tests must verify no update path exists; Future: consider APOC procedures for validation,已完成,已完成,已完成,已提交,,openspec/changes/core-graph-foundation/specs/node-entities/spec.md; openspec/changes/core-graph-foundation/tasks.md:8-12; Doc/req.md:227-246 (§6.2-6.3); src/main/java/com/rhizodelta/domain/node/HumanPost.java:14; src/main/java/com/rhizodelta/domain/node/AIConsensus.java:14,"P0 Constraint: immutable nodes (design.md Constraints). Embedding dimension deferred (Open Question 1). Blocked by: CGF-01-01.
picked_reason:P0核心数据模型先行，先定义节点实体可解锁关系、仓储、服务与API层实现
done_at:2026-03-08
evidence:新增HumanPost与AIConsensus两个@Node实体，映射node_id/content(author)/summary(agent)/created_at/embedding并去除setter实现不可变
validation_limited:当前环境仅JRE，mvn -DskipTests compile无法执行Java编译
manual_test:安装JDK17后执行 JAVA_HOME=<jdk17> mvn -DskipTests compile && timeout 60s mvn test
risk:medium 实体映射未在真实Neo4j连通环境完成集成验证"
CGF-02-02,P0,2,backend,Implement Relationship Properties Classes,"Create BranchedFromRelationship, MergedIntoRelationship, SynthesizedFromRelationship as @RelationshipProperties with audit fields (operator_type, operator_id, created_at, reason). Wire relationships to entity classes via @Relationship annotations.","WHEN system creates dissenting branch THEN BRANCHED_FROM created with all audit metadata (operator_type, operator_id, created_at, reason); WHEN system merges content into trunk THEN MERGED_INTO created with audit metadata; WHEN system creates AI_Consensus from Human_Posts THEN SYNTHESIZED_FROM created to each contributor with audit metadata; SHALL NOT allow modification or deletion of version evolution relationships; WHEN querying historical relationships THEN returns original audit metadata unchanged; ref: specs/graph-relationships/spec.md:4-45; ref: Doc/req.md:247-257 (§6.4 核心有向边: BRANCHED_FROM, MERGED_INTO, SYNTHESIZED_FROM); ref: Doc/req.md:108 (§3.3 验收5: 审计信息记录)",AUTOSERVER,"Decision 3: @RelationshipProperties for type-safe audit fields (not Map<String,Object>); Open Question 4 resolved: SYNTHESIZED_FROM also carries audit metadata; Verify relationship types match req.md §6.2 (BRANCHED_FROM, MERGED_INTO, SYNTHESIZED_FROM)","Risk: no DAG cycle detection at write time in this phase—deferred (design.md Risk); Mitigation: assume correct usage, add service-layer cycle validation in next phase; Verify relationship immutability via absence of delete methods",已完成,已完成,已完成,已提交,,openspec/changes/core-graph-foundation/specs/graph-relationships/spec.md; openspec/changes/core-graph-foundation/tasks.md:13-16; Doc/req.md:247-258 (§6.4 核心有向边); src/main/java/com/rhizodelta/domain/node/HumanPost.java:80; src/main/java/com/rhizodelta/domain/node/AIConsensus.java:16,"P0 Constraints: DAG integrity + audit trail (design.md Constraints). Open Question 4 resolved: all relationships carry audit. Blocked by: CGF-01-01.
picked_reason:P0关系审计模型是lineage/provenance查询前置，优先补齐关系属性与实体挂接
done_at:2026-03-08
evidence:实现BranchedFromRelationship/MergedIntoRelationship/SynthesizedFromRelationship并挂接到HumanPost与AIConsensus的@Relationship字段
validation_limited:当前环境仅JRE，mvn -DskipTests compile无法执行Java编译
manual_test:安装JDK17后执行 JAVA_HOME=<jdk17> mvn -DskipTests compile && timeout 60s mvn test
risk:medium 关系映射未在真实Neo4j运行时完成端到端验证"
CGF-03-01,P1,3,backend,Create Repository Interfaces,Create HumanPostRepository and AIConsensusRepository extending Neo4jRepository. Add findByNodeId methods to both. Only expose create and read operations—no update/delete methods to enforce immutability.,WHEN client queries node by node_id THEN returns entity with all properties; WHEN generating node_id for new node THEN uses UUID v4; SHALL enforce node_id uniqueness across all node types using database constraints; ref: specs/node-entities/spec.md:10-12; ref: specs/node-entities/spec.md:36-45; ref: Doc/req.md:233 (§6.2 node_id 必须唯一),AUTOSERVER,Only create methods exposed (immutability enforcement at repository boundary); Repository pattern aligns with SDN conventions (Decision 1); findByNodeId must handle both Human_Post and AI_Consensus,Verify no update/delete methods leak through repository interface; Integration test with Testcontainers validates repository operations end-to-end,已完成,已完成,已完成,已提交,,openspec/changes/core-graph-foundation/specs/node-entities/spec.md; openspec/changes/core-graph-foundation/tasks.md:17-24; Doc/req.md:232-236 (§6.2 必要约束); src/main/java/com/rhizodelta/repository/HumanPostRepository.java:9; src/main/java/com/rhizodelta/repository/AIConsensusRepository.java:8,"Blocked by: CGF-02-01, CGF-02-02 (entities must exist). Repository is immutability enforcement boundary.
picked_reason:P1仓储接口是服务层实现入口，先提供只读/创建能力与node_id检索
done_at:2026-03-08
evidence:新增HumanPostRepository/AIConsensusRepository并提供findByNodeId(UUID)；通过ImmutableNeo4jRepository默认禁用delete系列方法
validation_limited:当前环境仅JRE，mvn -DskipTests compile无法执行Java编译
manual_test:安装JDK17后执行 JAVA_HOME=<jdk17> mvn -DskipTests compile && timeout 60s mvn test
risk:medium 仓储接口代理行为未在真实Spring上下文完成验证"
CGF-03-02,P1,3,backend,Add Custom Cypher Lineage & Provenance Queries,Add @Query Cypher for lineage traversal: -[:BRANCHED_FROM|MERGED_INTO*1..N]-> with configurable max_depth. Add @Query Cypher for provenance lookup: -[:SYNTHESIZED_FROM]-> single-hop retrieval.,"WHEN system executes lineage query THEN uses Cypher -[:BRANCHED_FROM|MERGED_INTO*1..{max_depth}]->; WHEN system executes provenance query THEN uses -[:SYNTHESIZED_FROM]->; WHEN traversing lineage THEN only follows version evolution relationships, ignoring CONCEPTUAL_OVERLAP and RELATES_TO; ref: specs/node-query-api/spec.md:53-61; ref: Doc/req.md:267-273 (§6.5 场景一: 溯源路径 Cypher 示例); ref: Doc/req.md:279-285 (§6.5 场景二: 穿透式确权 Cypher); ref: Doc/req.md:107 (§3.3 验收2: 溯源返回完整路径; 验收4: 语义关联不参与溯源)",AUTOSERVER,Decision 5: Cypher @Query over SDN derived queries for variable-length paths; Verify Cypher patterns align with req.md §6.5 examples; max_depth default 10 per req.md §5.5 lineage endpoint and Open Question 3,Lineage must exclude semantic relationships (req.md §3.3 验收4); Performance: must be efficient for 10-hop traversal (design.md Constraints); Verify correct paths in multi-parent DAG scenarios,已完成,已完成,已完成,已提交,,openspec/changes/core-graph-foundation/specs/node-query-api/spec.md:53-61; openspec/changes/core-graph-foundation/tasks.md:21-24; Doc/req.md:267-285 (§6.5 Cypher 查询示例); src/main/java/com/rhizodelta/repository/HumanPostRepository.java:14; src/main/java/com/rhizodelta/repository/AIConsensusRepository.java:14,"Blocked by: CGF-03-01. Decision 5: Cypher for complex traversals. Open Question 3 resolved: max_depth default 10, configurable via query param.
picked_reason:P1查询能力直接支撑lineage/provenance接口，先补Cypher确保后续服务层可复用
done_at:2026-03-08
evidence:在HumanPostRepository新增BRANCHED_FROM|MERGED_INTO lineage查询（maxDepth过滤）；在AIConsensusRepository新增SYNTHESIZED_FROM provenance查询
validation_limited:当前环境仅JRE，mvn -DskipTests compile无法执行Java编译
manual_test:安装JDK17后执行 JAVA_HOME=<jdk17> mvn -DskipTests compile && timeout 60s mvn test
risk:medium Cypher语句未在真实Neo4j数据上完成执行验证"
CGF-04-01,P1,4,backend,Implement Database Schema Initialization,"Create DatabaseInitializer with @PostConstruct. Execute Cypher for: node_id uniqueness constraint (IF NOT EXISTS), author_id index on Human_Post, created_at indexes on both node types. Log constraint verification results; fail startup if constraint creation fails.","WHEN app starts and connects to Neo4j THEN creates uniqueness constraint on node_id IF NOT EXISTS; WHEN app starts THEN creates index on Human_Post.author_id IF NOT EXISTS; WHEN app starts THEN creates created_at indexes for both node types IF NOT EXISTS; WHEN constraint creation fails THEN system fails startup to prevent inconsistent state; WHEN app restarts with existing constraints THEN skips creation without errors; SHALL use IF NOT EXISTS for idempotent schema initialization; ref: specs/graph-constraints/spec.md:4-56; ref: Doc/req.md:232-236 (§6.2 必要约束: node_id唯一, author_id索引, created_at索引, embedding向量索引)",AUTOSERVER,IF NOT EXISTS clauses for idempotency (spec requirement); Verify constraint names are clear and logged; Schema init must complete before accepting traffic,Verify partial constraint state recovery (some but not all constraints present); Startup failure must be clean and descriptive; Repeated startup must be safe,已完成,已完成,已完成,已提交,,openspec/changes/core-graph-foundation/specs/graph-constraints/spec.md; openspec/changes/core-graph-foundation/tasks.md:25-31; Doc/req.md:232-236 (§6.2 必要约束); src/main/java/com/rhizodelta/config/DatabaseInitializer.java:13,"Blocked by: CGF-01-01 (Neo4j connection required). Idempotent schema init supports safe restarts. Vector index deferred per Non-Goals.
picked_reason:P1先落库约束与索引，避免后续服务/API写入时出现数据一致性隐患
done_at:2026-03-08
evidence:新增DatabaseInitializer在@PostConstruct执行约束/索引创建并在失败时抛异常终止启动，随后记录约束校验结果
validation_limited:当前环境仅JRE，mvn -DskipTests compile无法执行Java编译
manual_test:安装JDK17后执行 JAVA_HOME=<jdk17> mvn -DskipTests compile && mvn spring-boot:run -Dspring-boot.run.profiles=test
risk:medium Cypher初始化脚本未在真实Neo4j实例完成联调"
CGF-05-01,P1,5,backend,Implement Post Submission Service,Create PostService with createHumanPost method. Generate UUID node_id. Implement idempotency check via request_id before node creation. Add @Transactional for ACID guarantees.,WHEN user submits post THEN creates Human_Post with generated UUID; WHEN client provides request_id THEN system stores it for audit trail; WHEN duplicate request_id received THEN returns previous result without creating duplicate node; WHEN service method completes THEN all graph changes committed atomically; WHEN exception thrown THEN transaction rolled back; ref: specs/post-submission-api/spec.md:29-38; ref: specs/graph-storage/spec.md:14-23; ref: Doc/req.md:176-179 (§5.5 POST /api/posts 请求字段); ref: Doc/req.md:40 (§2.2.2 幂等与去重: request_id/event_id),AUTOSERVER,request_id must be client-provided for idempotency (Open Question 2 resolved); UUID v4 for node_id (Decision 2); @Transactional with ACID per graph-storage spec; Verify idempotency handles concurrent duplicate requests,Transaction rollback verified on exception; Idempotency check must not create race condition; Verify request_id stored and queryable for full-chain tracing per req.md §5.6,已完成,已完成,已完成,已提交,,openspec/changes/core-graph-foundation/specs/post-submission-api/spec.md; openspec/changes/core-graph-foundation/tasks.md:32-38; Doc/req.md:176-179 (§5.5); Doc/req.md:40 (§2.2.2 幂等); src/main/java/com/rhizodelta/service/PostService.java:15; src/main/java/com/rhizodelta/domain/node/HumanPost.java:25,"Blocked by: CGF-03-01. Open Question 2 resolved: client provides request_id. req.md §5.6 requires request_id全链路透传.
picked_reason:P1先实现请求去重与事务写入，确保POST链路具备幂等基础
done_at:2026-03-08
evidence:新增PostService.createHumanPost，使用MERGE(request_id)实现幂等写入并返回既有node_id；添加@Transactional与请求级并发锁防重复写
validation_limited:当前环境仅JRE，mvn -DskipTests compile无法执行Java编译
manual_test:安装JDK17后执行 JAVA_HOME=<jdk17> mvn -DskipTests compile && timeout 60s mvn test
risk:medium 并发锁仅覆盖单实例进程，多实例幂等仍依赖数据库唯一约束（尚未添加request_id约束）"
CGF-05-02,P1,5,backend,Implement Node Query Service,Create NodeQueryService. Implement getNodeById supporting both Human_Post and AI_Consensus. Implement getLineage with configurable max_depth (default 10). Implement getProvenance for AI_Consensus nodes. Add @Transactional(readOnly=true).,WHEN client queries by node_id THEN returns correct node type with all properties; WHEN client requests lineage THEN traverses up to max_depth hops via BRANCHED_FROM and MERGED_INTO only; WHEN client requests provenance for AI_Consensus THEN returns all Human_Post via SYNTHESIZED_FROM; WHEN provenance requested for Human_Post THEN returns empty list (not error); WHEN lineage for root node THEN returns single node with empty edges; ref: specs/node-query-api/spec.md:3-61; ref: Doc/req.md:193-204 (§5.5 GET 接口响应字段); ref: Doc/req.md:116 (§4.1 P0用例: 溯源查询),AUTOSERVER,getNodeById must support polymorphic query across both node types; Lineage must exclude semantic relationships per req.md §3.3验收4; Provenance for non-AI_Consensus returns empty array not error per spec,Performance: lineage efficient for 10-hop traversal (design.md Constraints); Verify correct paths for complex multi-parent DAG topologies; Root node edge case returns single-node result,已完成,已完成,已完成,已提交,,openspec/changes/core-graph-foundation/specs/node-query-api/spec.md; openspec/changes/core-graph-foundation/tasks.md:39-42; Doc/req.md:193-204 (§5.5); Doc/req.md:116 (§4.1 P0用例); src/main/java/com/rhizodelta/service/NodeQueryService.java:15,"Blocked by: CGF-03-02 (Cypher queries required). Implements P0 use case: user queries lineage and gets explainable result (req.md §4.1).
picked_reason:P1查询服务是NodeController前置，先统一封装按ID/lineage/provenance读取逻辑
done_at:2026-03-08
evidence:新增NodeQueryService实现getNodeById(支持Human_Post/AI_Consensus)、getLineage(maxDepth默认10)、getProvenance，并统一@Transactional(readOnly=true)
validation_limited:当前环境仅JRE，mvn -DskipTests compile无法执行Java编译
manual_test:安装JDK17后执行 JAVA_HOME=<jdk17> mvn -DskipTests compile && timeout 60s mvn test
risk:medium getLineage当前返回HumanPost列表，复杂混合节点路径的返回结构仍需后续接口层联调确认"
CGF-06-01,P1,6,backend,Create API Response Wrapper & Error Handling,"Create ApiResponse<T> wrapper with code (Integer), message (String), data (T). Implement @ControllerAdvice with @ExceptionHandler for 400/404/500 returning unified ApiResponse format.","WHEN API succeeds THEN returns {code: 0, message: ""ok"", data: {...}}; WHEN API fails THEN returns {code: non-zero, message: error description, data: null or error details}; ref: specs/post-submission-api/spec.md:18-27; ref: Doc/req.md:131-139 (§5.1 统一响应结构); ref: Doc/req.md:164-171 (§5.4 最小响应约定)",AUTOSERVER,"Response format must exactly match req.md §5.1 structure: {code, message, data}; Error codes consistent and documented; Exception handlers must not leak stack traces to client","Verify all endpoints use ApiResponse wrapper consistently; Verify error format in edge cases (null body, malformed JSON, unexpected exceptions)",已完成,已完成,已完成,已提交,,openspec/changes/core-graph-foundation/specs/post-submission-api/spec.md:18-27; openspec/changes/core-graph-foundation/tasks.md:44-54; Doc/req.md:131-139 (§5.1); Doc/req.md:164-171 (§5.4); src/main/java/com/rhizodelta/api/ApiResponse.java:3; src/main/java/com/rhizodelta/api/GlobalExceptionHandler.java:12,"API response convention is project-wide; must be established before controllers. No external dependencies—can be built in parallel with Phase 3-5.
picked_reason:P1先统一响应与异常语义，保证后续控制器行为一致
done_at:2026-03-08
evidence:新增ApiResponse<T>统一返回体与GlobalExceptionHandler，覆盖400/404/500异常映射
validation_limited:当前环境仅JRE，mvn -DskipTests compile无法执行Java编译
manual_test:安装JDK17后执行 JAVA_HOME=<jdk17> mvn -DskipTests compile && timeout 60s mvn test
risk:low 异常映射逻辑简单，主要风险在运行时未完成编译验证"
CGF-06-02,P1,6,backend,Implement Post Submission Controller,"Create PostController with POST /api/posts. Accept request_id, author_id, content, optional target_node_id. Return HTTP 202 Accepted with event_id and status QUEUED. Validate required fields.","WHEN valid POST with request_id, author_id, content THEN returns HTTP 202 with event_id and status ""QUEUED""; WHEN missing required fields (request_id, author_id, content) THEN returns HTTP 400 with error details; WHEN duplicate request_id THEN returns idempotent response (same event_id); SHALL return HTTP 202 within 100ms without waiting for graph write; ref: specs/post-submission-api/spec.md:4-49; ref: Doc/req.md:154 (§5.3 POST /api/posts); ref: Doc/req.md:176-179 (§5.5 请求字段)",AUTOSERVER,"Decision 6: HTTP 202 even though synchronous now—future-proof API contract; Verify field names match req.md §5.5 exactly (request_id, author_id, content, target_node_id); target_node_id is optional per spec",Verify 202 response time under load; API contract must remain stable when async queue is added later; Validate consistent error response format,未开始,未开始,未开始,未提交,,openspec/changes/core-graph-foundation/specs/post-submission-api/spec.md; openspec/changes/core-graph-foundation/tasks.md:47-49; Doc/req.md:154 (§5.3); Doc/req.md:176-179 (§5.5),"Blocked by: CGF-05-01, CGF-06-01. Decision 6: 202 Accepted for future async compatibility. req.md §5.6 requires event_id for status tracking."
CGF-06-03,P1,6,backend,Implement Node Query Controller,"Create NodeController with GET /api/nodes/{id}, GET /api/nodes/{id}/lineage (max_depth param, default 10), GET /api/nodes/{id}/provenance. Return standardized ApiResponse.","WHEN GET /api/nodes/{id} for Human_Post THEN returns {node_id, label: ""Human_Post"", content, author_id, created_at}; WHEN GET /api/nodes/{id} for AI_Consensus THEN returns {node_id, label: ""AI_Consensus"", summary_content, agent_version, created_at}; WHEN node not found THEN HTTP 404 with {code: 404, message: ""Node not found"", data: null}; WHEN GET lineage without max_depth THEN traverses up to 10 hops via BRANCHED_FROM/MERGED_INTO; WHEN GET lineage?max_depth=5 THEN traverses up to 5 hops; WHEN GET provenance for AI_Consensus THEN returns human_posts array; ref: specs/node-query-api/spec.md:3-61; ref: Doc/req.md:157-159 (§5.3 GET接口); ref: Doc/req.md:193-204 (§5.5 响应字段)",AUTOSERVER,max_depth query param with default 10 (Open Question 3 resolved); Provenance for Human_Post returns empty array not error; Response fields must match req.md §5.5 exactly,Verify lineage only follows version evolution edges; Response format consistency with ApiResponse wrapper; Performance: 10-hop lineage should not timeout (60s limit per req.md §11.2),未开始,未开始,未开始,未提交,,openspec/changes/core-graph-foundation/specs/node-query-api/spec.md; openspec/changes/core-graph-foundation/tasks.md:50-53; Doc/req.md:157-159 (§5.3); Doc/req.md:193-204 (§5.5),"Blocked by: CGF-05-02, CGF-06-01. Implements P0 use case: lineage query (req.md §4.1). Open Question 3 resolved: default 10, configurable."
CGF-07-01,P1,7,backend,Setup Test Infrastructure & Post API Integration Tests,"Create Neo4j Testcontainer config for integration tests. Write tests for: Human_Post creation via POST /api/posts, duplicate request_id idempotency, node_id uniqueness constraint violation.","WHEN integration test runs THEN Neo4j Testcontainer starts and is accessible; WHEN POST /api/posts with valid data THEN returns 202 with event_id and status ""QUEUED""; WHEN POST with duplicate request_id THEN returns same response without duplicate node; WHEN duplicate node_id creation attempted THEN constraint violation error returned; ref: specs/post-submission-api/spec.md:6-38; ref: specs/graph-constraints/spec.md:9-12; ref: Doc/req.md:408-411 (§11.1 测试范围: 单元+集成+回归); ref: Doc/req.md:415 (§11.2 超时上限60秒)",AUTOSERVER,Testcontainers for reproducible test environment (design.md Migration Plan); All tests must run under 60s per req.md §11.2; Test config uses mock credentials only,Tests must clean up between runs; Verify test isolation for parallel safety; Testcontainers version compatible with Neo4j 5.x,未开始,未开始,未开始,未提交,,openspec/changes/core-graph-foundation/tasks.md:56-66; Doc/req.md:408-416 (§11 测试计划),Blocked by: CGF-06-02. Test timeout max 60s per req.md §11.2. Testcontainers Neo4j per design.md Testing Strategy.
CGF-07-02,P1,7,backend,Implement Node & Lineage Integration Tests,"Write integration tests for: GET /api/nodes/{id} (Human_Post and AI_Consensus), lineage traversal with BRANCHED_FROM and MERGED_INTO, provenance query with SYNTHESIZED_FROM. Verify correct paths and data.","WHEN GET node by id THEN returns correct type and all properties; WHEN lineage on branched node THEN returns upstream path via BRANCHED_FROM; WHEN lineage on merged node THEN returns path via MERGED_INTO; WHEN provenance on AI_Consensus THEN returns contributing Human_Posts with author_id, content, created_at; WHEN provenance on Human_Post THEN returns empty list; ref: specs/node-query-api/spec.md:6-50; ref: Doc/req.md:105-108 (§3.3 验收标准 2: 溯源完整路径; 3: 确权Human_Post集合; 4: 语义关联不参与DAG)",AUTOSERVER,Verify lineage excludes semantic relationships (req.md §3.3验收4); Verify provenance returns fields matching req.md §5.5; Test both single-hop and multi-hop lineage; Test complex DAG with multi-parent nodes,Verify DAG topology preserved in complex scenarios; Test root node edge case (no upstream returns single node); Test AI_Consensus without SYNTHESIZED_FROM returns empty; Validate against req.md §3.3 all 5 验收标准,未开始,未开始,未开始,未提交,,openspec/changes/core-graph-foundation/specs/node-query-api/spec.md; openspec/changes/core-graph-foundation/tasks.md:59-65; Doc/req.md:104-108 (§3.3 验收标准),"Blocked by: CGF-06-03, CGF-07-01. Tests validate req.md §3.3 验收标准 2,3,4. Covers P0 use case: 溯源查询可解释结果."
CGF-07-03,P2,7,backend,Write Service Layer Unit Tests,"Write unit tests for PostService and NodeQueryService business logic. Mock repository layer. Verify UUID generation, idempotency logic, parameter validation, and edge cases.",WHEN PostService.createHumanPost called THEN generates UUID and persists via repository; WHEN duplicate request_id detected THEN returns cached result without write; WHEN NodeQueryService.getNodeById with unknown id THEN throws appropriate exception; WHEN getLineage with custom max_depth THEN passes parameter to repository correctly; ref: Doc/req.md:408 (§11.1 单元测试: 节点创建、溯源查询逻辑),AUTOSERVER,"Unit tests should mock repository (no Neo4j dependency); Test boundary values for max_depth parameter (0, negative, very large); Verify UUID generation is invoked correctly","Unit tests must remain under 60s (req.md §11.2); Verify mock interfaces aligned with actual repository; Edge case coverage: null inputs, empty strings",未开始,未开始,未开始,未提交,,openspec/changes/core-graph-foundation/tasks.md:67; Doc/req.md:408 (§11.1 单元测试),"Blocked by: CGF-05-01, CGF-05-02. Lower priority than integration tests but required for CI quality gate per req.md §11.2."
CGF-08-01,P2,8,infra,Documentation & Dev Environment Setup,Create docker-compose.yml for local Neo4j 5.x instance. Add application.yml.example with placeholder values only. Document API endpoints with request/response examples. Update README with Neo4j setup instructions.,"WHEN developer runs docker-compose up THEN Neo4j 5.x starts and is accessible; application.yml.example contains only placeholder values (your_database_ip_here, your_jwt_secret_key_here); API documentation covers all 5 endpoints per req.md §5.3; ref: Doc/req.md:362-366 (§8.3 配置约束: 禁止暴露真实密钥); ref: Doc/req.md:337-360 (§8.1-8.2 环境搭建与启动)",MANUAL,"No real IPs, keys, or passwords per req.md §8.3 security constraint; Docker Compose uses official Neo4j 5.x image; API docs suggest future OpenAPI/Swagger integration per req.md §5.1",Verify docker-compose.yml matches application.yml config expectations; Placeholder values consistent with req.md §8.3 examples; README covers mvn test and mvn spring-boot:run per req.md §8.2,未开始,未开始,未开始,未提交,,openspec/changes/core-graph-foundation/tasks.md:69-74; Doc/req.md:337-366 (§8 本地开发环境搭建),req.md §8.3: 严禁真实IP/密钥/密码. Docker recommended for Neo4j dev instance. Can be done in parallel with any phase.
