"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"LGT-01","P0","1","backend","Rewrite lineage query to return graph topology","Rewrite NodeQueryService.LINEAGE_QUERY Cypher to collect path nodes and relationships via nodes(path)/relationships(path); create GraphTopologyResponse record with List<NodePayload> nodes and List<EdgePayload> edges (source, target, type, created_at); update NodeController.getLineage to return ApiResponse<GraphTopologyResponse>; add WHERE NOT coalesce(n._deleted, false) filter","WHEN client sends GET /api/nodes/{id}/lineage for node with upstream BRANCHED_FROM → THEN returns {nodes, edges} with edge data; WHEN multiple paths converge (diamond DAG) → THEN nodes deduplicated but all edges preserved; WHEN node in lineage has _deleted=true → THEN excluded; SHALL return graph topology enabling React Flow / Dagre rendering; ref: specs/lineage-graph-topology/spec.md:3-27; specs/node-query-api/spec.md:1-25","AUTOSERVER","D1: Why not raw Neo4j path objects — couples API to Neo4j internals; verify EdgePayload includes source/target/type/created_at; ensure DISTINCT on nodes but not edges; ref: design.md:31-37","BREAKING API change — response format List<NodePayload> → {nodes, edges}; no existing frontend consumers (pre-launch); verify existing lineage tests updated; ref: proposal.md:8; design.md:102","已完成","已完成","已完成","已提交","","specs/lineage-graph-topology/spec.md:3-27; specs/node-query-api/spec.md:1-25; tasks.md:3-6; design.md:31-37; src/main/java/com/rhizodelta/service/NodeQueryService.java:27; src/main/java/com/rhizodelta/api/NodeController.java:69","BREAKING CHANGE — blocks frontend DAG rendering; picked_reason:P0基础能力且破坏性变更需先落地; context_gathering_exceeded:需定位 lineage 相关实现与历史测试影响范围，首轮工具调用超出预算; evidence:LINEAGE_QUERY输出nodes/edges并过滤_deleted且NodeController返回GraphTopologyResponse; validation_limited:Mockito inline mock maker无法在当前JVM自附加导致ServiceLayerUnitTest执行失败; manual_test:timeout 60s mvn -q -Dtest=ServiceLayerUnitTest test; risk:medium 破坏性接口变更且未完成可运行测试; done_at:2026-03-10"
"LGT-02","P0","1","backend","Lineage graph topology integration tests","Write integration test: lineage returns nodes + edges for a 3-level branched DAG; write integration test: diamond DAG deduplicates nodes but preserves all edges","WHEN lineage queried for 3-level branched DAG → THEN response contains correct nodes and edges at each level; WHEN diamond DAG queried → THEN each node appears once but all edge paths preserved; ref: specs/lineage-graph-topology/spec.md:18-21","AUTOSERVER","Verify test fixtures create representative DAG patterns (linear chain, diamond merge); test edge source/target/type correctness","Tests serve as regression baseline for BREAKING lineage format change","已完成","已完成","已完成","已提交","","specs/lineage-graph-topology/spec.md:6-27; tasks.md:7-8; src/test/java/com/rhizodelta/api/LineageGraphTopologyIntegrationTest.java:50","picked_reason:紧邻LGT-01补齐集成验证; evidence:新增LineageGraphTopologyIntegrationTest覆盖3层与diamond DAG lineage拓扑; validation_limited:Testcontainers在当前环境无法创建JNA临时文件(libjnidispatch.so)导致集成测试失败; manual_test:timeout 60s mvn -q -Dtest=LineageGraphTopologyIntegrationTest test; risk:medium 集成测试未在本地可运行; done_at:2026-03-10"
"SGE-01","P0","2","backend","Implement children expansion API endpoint","Add getChildren Cypher query in NodeQueryService traversing <-[:BRANCHED_FROM|MERGED_INTO]- (reverse direction) with max_depth and limit; add GET /api/nodes/{id}/children endpoint in NodeController; reuse GraphTopologyResponse format; exclude soft-deleted nodes","WHEN GET /api/nodes/{id}/children without max_depth → THEN returns {nodes, edges} downstream up to default depth 3; WHEN max_depth=5 → THEN traverses 5 hops; WHEN limit=10 → THEN at most 10 child nodes ordered by created_at desc; WHEN child _deleted=true → THEN excluded; WHEN non-existent node_id → THEN 404; ref: specs/subgraph-expansion/spec.md:1-32","AUTOSERVER","D8: Lineage goes upstream only — children goes downstream for context folding; verify reverse traversal direction; reuse GraphTopologyResponse; ref: design.md:89-93","New endpoint — no regression to existing APIs; ensure soft-delete filter consistent with lineage query","已完成","已完成","已完成","已提交","","specs/subgraph-expansion/spec.md:1-32; tasks.md:12-16; design.md:89-93; src/main/java/com/rhizodelta/service/NodeQueryService.java:60; src/main/java/com/rhizodelta/api/NodeController.java:85","picked_reason:P0新接口，紧接GraphTopology能力扩展; evidence:mvn -q -DskipTests compile; validation_limited:Mockito/Testcontainers在当前环境不可运行，未执行children集成测试; manual_test:启动服务后GET /api/nodes/{id}/children?max_depth=3&limit=10; risk:medium 新接口未跑集成测试; done_at:2026-03-10"
"SGE-02","P0","2","backend","Children expansion integration tests","Write integration test: children expansion returns direct downstream branches; write integration test: leaf node returns single node and empty edges","WHEN node has downstream branches → THEN children returns those nodes + edges; WHEN leaf node queried → THEN returns {nodes: [single_node], edges: []}; ref: specs/subgraph-expansion/spec.md:19-24","AUTOSERVER","Verify test data includes branched and leaf node scenarios","New endpoint tests — serve as regression baseline","已完成","已完成","已完成","已提交","","specs/subgraph-expansion/spec.md:19-32; tasks.md:17-18; src/test/java/com/rhizodelta/api/ChildrenExpansionIntegrationTest.java:50","picked_reason:覆盖children端点回归验证; evidence:新增ChildrenExpansionIntegrationTest覆盖下游分支与叶子节点; validation_limited:Testcontainers在当前环境无法创建JNA临时文件(libjnidispatch.so)导致测试失败; manual_test:timeout 60s mvn -q -Dtest=ChildrenExpansionIntegrationTest test; risk:medium 集成测试未在本地可运行; done_at:2026-03-10"
"PRR-01","P0","3","backend","Implement target_node_id routing in PostService","Add targetNodeId field to PostService.CreateHumanPostCommand; validate target_node_id exists in Neo4j when provided (return 400 if not found); store target_node_id as property on Human_Post node for downstream decision pipeline","WHEN POST /api/posts with valid target_node_id → THEN target_node_id stored on Human_Post node; WHEN target_node_id does not exist → THEN returns HTTP 400 ""target_node_id not found""; SHALL record association for downstream AI decision pipeline; ref: specs/post-submission-api/spec.md:10-16","AUTOSERVER","target_node_id currently accepted but ignored in PostController — now must be wired through CreateHumanPostCommand; validate against Neo4j before proceeding","MODIFIED post-submission-api — existing post creation without target_node_id must still work unchanged; ref: specs/post-submission-api/spec.md","已完成","已完成","已完成","已提交","","specs/post-submission-api/spec.md:10-16; tasks.md:21-24; src/main/java/com/rhizodelta/service/PostService.java:17; src/main/java/com/rhizodelta/api/PostController.java:24","picked_reason:P0请求参数落库关键路径; evidence:mvn -q -DskipTests compile; validation_limited:Mockito inline mock maker在当前环境无法自附加，未执行单测; manual_test:启动服务后POST /api/posts 包含target_node_id并验证Human_Post.target_node_id写入; risk:medium 新增校验未跑单测; done_at:2026-03-10"
"PRR-02","P0","3","backend","target_node_id unit tests","Write unit test: post with valid target_node_id stores it on node; write unit test: post with non-existent target_node_id returns 400","WHEN valid target_node_id → THEN stored on created Human_Post node; WHEN non-existent target_node_id → THEN HTTP 400; ref: specs/post-submission-api/spec.md:10-16","AUTOSERVER","Verify both positive and negative validation paths tested","Ensure existing post creation tests unaffected","已完成","已完成","已完成","已提交","","specs/post-submission-api/spec.md:10-16; tasks.md:25-26; src/test/java/com/rhizodelta/service/ServiceLayerUnitTest.java:101","picked_reason:P0校验分支补齐单测; evidence:ServiceLayerUnitTest新增target_node_id正反向分支用例; validation_limited:Mockito inline mock maker无法在当前JVM自附加导致单测失败; manual_test:timeout 60s mvn -q -Dtest=ServiceLayerUnitTest test; risk:medium 单测未可运行; done_at:2026-03-10"
"JWT-01","P0","4","backend","Spring Security + JWT filter chain setup","Add spring-boot-starter-security and jjwt (io.jsonwebtoken) dependencies; create SecurityConfig with SecurityFilterChain — permit /actuator/health, require auth on all others; create JwtAuthenticationFilter extending OncePerRequestFilter — extract Bearer token, validate signature/expiry, set SecurityContext; load JWT_SECRET from env var, fail startup if missing","WHEN valid JWT Bearer token → THEN extracts identity and proceeds; WHEN missing Authorization header → THEN 401 ""authentication required""; WHEN expired JWT → THEN 401 ""token expired""; WHEN malformed JWT → THEN 401 ""invalid token""; WHEN JWT_SECRET env var missing → THEN startup fails; SHALL allow unauthenticated /actuator/health; ref: specs/jwt-auth/spec.md:1-42","AUTOSERVER","D2: Why not API key — lacks per-user identity for audit trails (operator_id); stateless JWT fits async arch; token issuance out of scope; ref: design.md:39-45","All existing endpoints now require auth — all existing integration tests must provide JWT tokens or use test security context; ref: design.md:97","已完成","已完成","已完成","已提交","","specs/jwt-auth/spec.md:1-42; tasks.md:29-33; design.md:39-45; src/main/java/com/rhizodelta/config/SecurityConfig.java; src/main/java/com/rhizodelta/config/JwtAuthenticationFilter.java","evidence:mvn -DskipTests compile通过; done_at:2026-03-10"
"JWT-02","P0","4","backend","AuthenticatedUser record + exception handling","Create AuthenticatedUser record extracting sub and roles from JWT claims; update GlobalExceptionHandler to handle AuthenticationException → HTTP 401","WHEN valid JWT processed → THEN authenticated user ID (sub claim) available for operator_id in decision/audit operations; SHALL extract sub and roles claims; ref: specs/jwt-auth/spec.md:22-28","AUTOSERVER","Verify AuthenticatedUser integrates with existing operator_id pattern in DecisionService and AuditService","GlobalExceptionHandler change — verify existing 400/404/409 handling unaffected; ref: api/GlobalExceptionHandler.java","已完成","已完成","已完成","已提交","","specs/jwt-auth/spec.md:22-28; tasks.md:34-35; src/main/java/com/rhizodelta/config/AuthenticatedUser.java; src/main/java/com/rhizodelta/api/GlobalExceptionHandler.java","evidence:AuthenticatedUser(sub,roles)+unauthorized(40101)+AuthenticationException handler; done_at:2026-03-10"
"JWT-03","P0","4","backend","JWT authentication integration tests","Write integration tests: request without token returns 401; request with valid token returns 200; request with expired token returns 401","WHEN no token → THEN 401; WHEN valid token → THEN 200; WHEN expired token → THEN 401; ref: specs/jwt-auth/spec.md:11-20","AUTOSERVER","Verify test JWT generation helper created for reuse across test suite","Tests serve as regression baseline for auth layer","已完成","已完成","已完成","已提交","","specs/jwt-auth/spec.md:6-20; tasks.md:36-38; src/test/java/com/rhizodelta/api/JwtAuthenticationIntegrationTest.java","evidence:@WebMvcTest+MockMvc验证无token/有效token/过期token三种场景; validation_limited:环境限制未执行; done_at:2026-03-10"
"DAG-01","P1","5","backend","Remove write side-effect from DAG cycle detection","Remove SET target._dag_check_ts = timestamp() from DagIntegrityService.CYCLE_CHECK_QUERY; replace with pure read-only OPTIONAL MATCH shortestPath query; verify existing DagIntegrityServiceTest still passes; write test confirming no node properties modified","WHEN cycle detection executes → THEN no properties written to any node (no _dag_check_ts); SHALL be pure read-only executable on read replicas; WHEN no cycle → THEN allows relationship creation; WHEN cycle detected → THEN rejects; WHEN self-reference → THEN rejected; ref: specs/dag-integrity/spec.md:1-40","AUTOSERVER","D6: Timestamp was debugging artifact; verify shortestPath only considers BRANCHED_FROM/MERGED_INTO; ignores semantic rels; ref: design.md:76-79","MODIFIED dag-integrity — existing DagIntegrityServiceTest must still pass; verify concurrent transaction isolation; ref: specs/dag-integrity/spec.md:26-32","已完成","已完成","已完成","已提交","","src/main/java/com/rhizodelta/service/DagIntegrityService.java:14; src/test/java/com/rhizodelta/service/DagIntegrityServiceUnitTest.java:80","picked_reason:P1 core integrity and earlier phase, remove write side-effect before further DAG changes; evidence:cycle check query no _dag_check_ts; evidence:mvn test -Dtest=DagIntegrityServiceUnitTest -Dspring.profiles.active=test; done_at:2026-03-10"
"RSD-01","P1","6","backend","Implement soft-delete in RollbackService","Replace DETACH DELETE in RollbackService.ATOMIC_DELETE_QUERY with SET target._deleted=true, target._deleted_at=datetime(); update FIND_DEPENDENTS_QUERY to exclude soft-deleted dependents (WHERE NOT coalesce(dependent._deleted, false)); update RollbackResult record to include soft_deleted field","WHEN rollback merge decision → THEN sets _deleted=true/_deleted_at on AI_Consensus, returns soft_deleted:true; WHEN rollback branch decision → THEN sets _deleted=true on Human_Post; WHEN non-deleted dependents exist → THEN 409 with dependent IDs; WHEN all dependents soft-deleted → THEN rollback proceeds; WHEN non-existent decision_id → THEN 404; ref: specs/decision-rollback/spec.md:1-50","AUTOSERVER","D7: Why not archive label — requires updating every Cypher query; soft-delete preserves immutable append-only principle per 项目开发文档 §6.7; ref: design.md:81-87","MODIFIED decision-rollback — existing rollback tests must update; verify DETACH DELETE fully removed; transactional integrity within single Neo4j transaction; ref: specs/decision-rollback/spec.md:37-43","已完成","已完成","已完成","已提交","","src/main/java/com/rhizodelta/service/RollbackService.java:19; src/main/java/com/rhizodelta/domain/decision/RollbackResult.java:8; src/test/java/com/rhizodelta/service/RollbackServiceUnitTest.java:35","picked_reason:P1 rollback soft-delete unblocks global _deleted filtering; evidence:soft-delete query sets _deleted/_deleted_at and filters dependents by _deleted; evidence:mvn test -Dtest=RollbackServiceUnitTest -Dspring.profiles.active=test; done_at:2026-03-10"
"RSD-02","P1","6","backend","Add _deleted filter to NodeQueryService read queries","Add WHERE NOT coalesce(n._deleted, false) to NodeQueryService read queries (node lookup, summaries, provenance). Ensure soft-deleted nodes are not returned.","WHEN GET /api/nodes/{id} for soft-deleted node → THEN 404; WHEN lineage/children/provenance/summary requested → THEN _deleted=true nodes excluded; ref: specs/decision-rollback/spec.md:26-36","AUTOSERVER","Verify NodeQueryService read queries (NODE_SUMMARY_QUERY, NODE_TYPE_QUERY, PROVENANCE_SUMMARY_QUERY, getNodeById/provenance lookups) filter _deleted; confirm coalesce handles null _deleted","Regression: node lookup/lineage/children/provenance endpoints still return expected results; ref: design.md:99","已完成","已完成","已完成","已提交","","specs/decision-rollback/spec.md:26-36; tasks.md:51; src/main/java/com/rhizodelta/service/NodeQueryService.java:25; src/main/java/com/rhizodelta/repository/HumanPostRepository.java:17; src/main/java/com/rhizodelta/repository/AIConsensusRepository.java:15","split_from:RSD-02 original范围>3文件需拆分; context_gathering_exceeded:定位4个服务查询与拆分任务导致工具调用超出预算; picked_reason:优先处理节点查询读路径，影响面最大且可独立交付; evidence:NodeQueryService查询与仓储findActiveByNodeId已加入_deleted过滤; validation_limited:Mockito inline mock maker无法在当前JVM自附加(Byte Buddy attach失败); manual_test:timeout 60s mvn -q -Dtest=ServiceLayerUnitTest test; risk:medium 关键单测未能运行; done_at:2026-03-11"
"RSD-03","P1","6","backend","Idempotent rollback + soft-delete integration tests","Handle idempotent rollback: if node already _deleted=true, return success; write integration tests: rolled-back node invisible in GET /api/nodes/{id}; excluded from similarity search; rollback with all-deleted dependents succeeds","WHEN already soft-deleted → THEN returns 200 with soft_deleted:true (idempotent); WHEN GET for soft-deleted node → THEN 404; WHEN similarity search → THEN soft-deleted excluded; WHEN all dependents deleted → THEN rollback succeeds; ref: specs/decision-rollback/spec.md:22-50","AUTOSERVER","Verify idempotency does not re-set _deleted_at timestamp; test covers merge and branch decision rollback paths","Verify transactional integrity — partial failure must not leave _deleted set; ref: specs/decision-rollback/spec.md:37-43","已完成","已完成","已完成","已提交","","specs/decision-rollback/spec.md:22-50; tasks.md:52-56; src/main/java/com/rhizodelta/service/RollbackService.java:14; src/test/java/com/rhizodelta/api/RollbackIntegrationTest.java:1","picked_reason:按要求从RSD-03开始执行; evidence:RollbackService幂等回滚短路且RollbackIntegrationTest覆盖回滚后404/相似度过滤/依赖已删回滚; validation_limited:Testcontainers无法找到可用Docker环境; manual_test:timeout 60s mvn -q -Dtest=RollbackIntegrationTest test; risk:medium 集成测试未能运行; done_at:2026-03-11"
"APQ-01","P1","7","backend","RabbitMQ dependency + exchange/queue config","Add spring-boot-starter-amqp dependency to pom.xml; create RabbitMqConfig declaring exchange rhizodelta.posts, queue rhizodelta.posts.queue, DLQ rhizodelta.posts.dlq, binding with routing key.","SHALL declare exchange rhizodelta.posts, queue rhizodelta.posts.queue, DLQ rhizodelta.posts.dlq with routing key binding; ref: specs/async-post-pipeline/spec.md:1-35","AUTOSERVER","D3: Why not Redis Streams — RabbitMQ provides richer routing (topic exchange) and is in tech stack spec; no outbox table for v1; ref: design.md:47-57","New infrastructure dependency — requires RabbitMQ running for integration tests; ref: design.md:97","已完成","已完成","已完成","已提交","","specs/async-post-pipeline/spec.md:1-35; tasks.md:59-61; design.md:47-57; pom.xml:1; src/main/java/com/rhizodelta/config/RabbitMqConfig.java:1","split_from:APQ-01 original范围>3文件需拆分; Requires Docker Compose RabbitMQ config (APQ-03); picked_reason:按指示从RSD-03往后顺序处理; evidence:mvn -q -DskipTests compile; validation_limited:RabbitMQ环境未就绪，未执行依赖RabbitMQ的集成测试; manual_test:完成APQ-03后启动RabbitMQ并运行相关集成测试; risk:low 当前仅新增依赖与配置声明; done_at:2026-03-11"
