id,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
RVW-01,P0,1,backend,Fix transactional async side-effects in DecisionService and PostConsumer,"Replace CompletableFuture.runAsync() inside @Transactional methods with @TransactionalEventListener(phase=AFTER_COMMIT) to ensure async embedding/SSE operations execute only after transaction commit. Current code fires async threads before commit, risking reads of uncommitted data or missing nodes entirely.","WHEN async embedding/SSE triggered → THEN executes only after main transaction commits; WHEN transaction rolls back → THEN no async side effects fire; SHALL use @TransactionalEventListener(AFTER_COMMIT) or equivalent commit-aware mechanism; ref: specs/embedding-model-integration/spec.md:14-17; specs/sse-event-push/spec.md:10-21; validate: mvn test -Dtest=PostConsumerEmbeddingUnitTest,DecisionServiceBranchUnitTest,DecisionServiceMergeUnitTest",AUTOSERVER,Verify TransactionalEventListener registered for correct event types; ensure embedding and SSE events both use commit-aware pattern; confirm no remaining CompletableFuture.runAsync in @Transactional context; ref: Codex+Gemini cross-validated,Embedding still written after Human_Post/AI_Consensus creation; SSE events still pushed for NODE_CREATED/EDGE_CREATED/DECISION_COMPLETE; existing async pipeline integration tests pass; ref: specs/embedding-model-integration/spec.md:6-17; specs/sse-event-push/spec.md:10-21,已完成,已完成,已完成,已提交,,"DecisionService.java:124,231,248; PostConsumer.java:74; specs/embedding-model-integration/spec.md:14-17; specs/sse-event-push/spec.md:10-21; design.md:59-65","Codex+Gemini交叉验证; 影响: embedding永久缺失 + SSE推送不可见数据; 与RVW-07(线程池)关联可合并重构; picked_reason:P0且事务异步副作用高风险; done_at:2026-03-11; evidence:mvn test -Dtest=PostConsumerEmbeddingUnitTest,DecisionServiceBranchUnitTest,DecisionServiceMergeUnitTest (pass)"
RVW-02,P0,1,backend,Fix JWT filter exception handling for blank sub claim,"JwtAuthenticationFilter throws BadCredentialsException when sub is blank, but executes before ExceptionTranslationFilter, causing 500 HTML instead of 401 JSON. Add catch(AuthenticationException) in doFilterInternal to explicitly call writeErrorResponse.",WHEN JWT token has blank/empty sub claim → THEN returns 401 JSON ApiResponse (not 500 HTML); WHEN any AuthenticationException in filter → THEN writeErrorResponse called with proper ApiResponse JSON; ref: specs/jwt-auth/spec.md:17-20; validate: mvn test -Dtest=JwtAuthenticationIntegrationTest,AUTOSERVER,Verify catch block covers all AuthenticationException subtypes in filter; ensure ObjectMapper used for error serialization (consistent with JWT-04 pattern); confirm blank vs null sub both handled; ref: Gemini发现,Valid JWT still works; expired JWT still returns 401; missing auth header still returns 401; existing JwtAuthenticationIntegrationTest pass; ref: specs/jwt-auth/spec.md:6-20,已完成,已完成,已完成,已提交,,JwtAuthenticationFilter.java; specs/jwt-auth/spec.md:17-20; GlobalExceptionHandler.java,"Gemini发现; JWT-04已部分修复sub validation但异常冒泡路径未完全覆盖; picked_reason:P0且改动面小,可快速闭环; done_at:2026-03-11; evidence:mvn test -Dtest=JwtAuthenticationIntegrationTest (pass)"
RVW-03,P1,2,backend,Add _deleted filter to DecisionService validation queries,"DecisionService.findByNodeId/findAllByNodeIdIn used for merge/branch validation do not filter _deleted nodes. Soft-deleted nodes can still participate in decisions, breaking data consistency with other soft-delete filtered services.","WHEN merge/branch decision references soft-deleted node → THEN decision rejected with appropriate error; ALL DecisionService validation queries SHALL filter WHERE NOT coalesce(n._deleted, false); ref: specs/decision-rollback/spec.md:26-28; validate: mvn test -Dtest=DecisionServiceBranchUnitTest,DecisionServiceMergeUnitTest",AUTOSERVER,Verify all findByNodeId/findAllByNodeIdIn usages in DecisionService add _deleted filter; check consistency with RSD-02 pattern; ref: Codex发现,Active nodes still participate in decisions normally; merge/branch with valid active nodes succeeds; existing decision tests pass; ref: specs/decision-rollback/spec.md:26-28,未开始,未开始,未开始,未提交,,"DecisionService.java:297,305; specs/decision-rollback/spec.md:26-28; tasks.md:51",Codex发现; RSD-02覆盖了NodeQueryService/EmbeddingService/AssociationService/AuditService但遗漏DecisionService校验路径
RVW-04,P1,2,backend,Add RabbitMQ publisher confirms + return callback,RabbitTemplate only sets mandatory flag without confirm/return callbacks. convertAndSend is async and returns immediately — PostController 202 does not guarantee message persisted by broker. Unroutable messages silently lost.,WHEN message published → THEN publisher confirm received before returning 202; WHEN message unroutable → THEN return callback triggered and logged; SHALL use CorrelationData future or RabbitTemplate#invoke for synchronous confirm; ref: specs/async-post-pipeline/spec.md:7-9; validate: mvn test -Dtest=AsyncPostPipelineIntegrationTest,AUTOSERVER,D3 design intent is publisher confirms for at-least-once (design.md:53) but implementation incomplete; verify CorrelationData or invoke pattern; ref: Codex+Gemini交叉验证,Successful post submission still returns 202; RabbitMQ unavailable still returns 503; existing async pipeline tests pass; ref: specs/async-post-pipeline/spec.md:10-12,未开始,未开始,未开始,未提交,,"RabbitMqConfig.java:67,80; PostController.java:54; specs/async-post-pipeline/spec.md:7-12; design.md:47-57",Codex+Gemini交叉验证; D3设计意图为publisher confirms但实现未完成
RVW-05,P1,2,backend,Replace manual retry with Spring AMQP RetryOperationsInterceptor,"PostConsumer handleFailure manually increments retry count and republishes with zero delay, exhausting 3 retries in milliseconds. Transient errors (Neo4j lock, network blip) have no chance to recover. Replace with Spring AMQP native exponential backoff.",WHEN Neo4j write fails transiently → THEN retry with exponential backoff (e.g. 1s/2s/4s); WHEN 3 retries exhausted → THEN routes to DLQ via native mechanism; SHALL use Spring AMQP RetryOperationsInterceptor or equivalent; ref: specs/async-post-pipeline/spec.md:25-34; validate: mvn test -Dtest=AsyncPostPipelineIntegrationTest,AUTOSERVER,Verify exponential backoff configuration; confirm native DLQ routing replaces manual routing; ref: Gemini发现,Permanent failures still reach DLQ; consumer still processes valid messages; idempotency via request_id MERGE preserved; ref: specs/async-post-pipeline/spec.md:17-24,未开始,未开始,未开始,未提交,,PostConsumer.java handleFailure; specs/async-post-pipeline/spec.md:25-34; RabbitMqConfig.java,Gemini发现; 与RVW-12(手动DLQ路由)相关建议合并修复
RVW-06,P1,2,backend,Deduplicate edges in lineage/children Cypher queries,LINEAGE_QUERY and CHILDREN_QUERY use reduce() to aggregate relationships from multiple paths. Diamond/convergent DAG paths produce duplicate edges in response. Use UNWIND + collect(DISTINCT rel) for deduplication.,WHEN diamond DAG queried → THEN edges array contains each relationship exactly once; SHALL use UNWIND + collect(DISTINCT rel) or equivalent deduplication in Cypher; ref: specs/lineage-graph-topology/spec.md:18-21; validate: mvn test -Dtest=LineageGraphTopologyIntegrationTest,AUTOSERVER,Verify DISTINCT applied at relationship level (not node level); confirm EdgePayload equality based on source+target+type; ref: Codex+Gemini交叉验证,Linear lineage unaffected; root node returns empty edges; soft-deleted excluded; existing topology tests pass; ref: specs/lineage-graph-topology/spec.md; specs/node-query-api/spec.md,未开始,未开始,未开始,未提交,,"NodeQueryService.java:31,60; specs/lineage-graph-topology/spec.md:18-21; tasks.md:8",Codex+Gemini交叉验证; tasks.md:8(LGT-01.6)要求diamond去重但当前实现仅nodes去重edges未去重
RVW-07,P1,2,backend,Define dedicated executor for embedding async tasks,"CompletableFuture.runAsync() defaults to ForkJoinPool.commonPool(). Embedding HTTP calls (SiliconFlow API) are blocking I/O and will exhaust common pool under load, starving all async operations across the JVM.","SHALL define @Bean(""embeddingTaskExecutor"") ThreadPoolTaskExecutor with configurable pool size; ALL embedding async tasks SHALL use dedicated executor instead of commonPool; validate: mvn test -Dtest=PostConsumerEmbeddingUnitTest",AUTOSERVER,Verify ThreadPoolTaskExecutor configured with appropriate core/max pool size for blocking I/O; confirm all runAsync calls pass dedicated executor; ref: Gemini+Codex辅助确认,Embedding async write still works; consumer pipeline throughput not degraded; ref: specs/embedding-model-integration/spec.md:6-17,未开始,未开始,未开始,未提交,,PostConsumer.java:74; DecisionService.java:231; design.md:59-65,Gemini发现Codex辅助确认; 与RVW-01(事务后执行)关联可合并重构
RVW-08,P1,2,backend,Fix limitTopology to preserve graph connectivity,"limitTopology sorts descendants by createdAt DESC globally and truncates to limit. Parent nodes may be dropped while children kept, destroying connecting edges and returning orphaned/disconnected nodes.",WHEN limit applied to topology → THEN returned graph is connected (no orphaned nodes); SHALL use BFS from root or equivalent traversal-aware limiting preserving referential integrity; ref: specs/subgraph-expansion/spec.md:14-16; validate: mvn test -Dtest=ChildrenExpansionIntegrationTest,AUTOSERVER,Verify BFS traversal preserves parent-child connectivity; confirm limit respects graph structure not just timestamp ordering; ref: Gemini发现,Children expansion default behavior unchanged; leaf node single-node result still works; existing children tests pass; ref: specs/subgraph-expansion/spec.md:19-24,未开始,未开始,未开始,未提交,,NodeQueryService.java limitTopology; specs/subgraph-expansion/spec.md:14-16,Gemini发现; 当前按createdAt全局截断破坏引用完整性
RVW-09,P2,3,backend,Filter _deleted nodes in target_node_id validation,"PostController/PostService target_node_id existence check does not exclude soft-deleted nodes, inconsistent with other read interfaces' _deleted filtering strategy (RSD-02/03/04/05/06).","WHEN POST /api/posts with target_node_id pointing to _deleted=true node → THEN returns 400 ""target_node_id not found""; ref: specs/post-submission-api/spec.md:14-16; validate: mvn test -Dtest=ServiceLayerUnitTest",AUTOSERVER,Verify validation query adds _deleted filter consistent with RSD-02 pattern; ref: Codex发现,Valid active target_node_id still accepted and stored; existing post submission tests pass; ref: specs/post-submission-api/spec.md:10-13,未开始,未开始,未开始,未提交,,PostController.java:27; PostService.java:36; specs/post-submission-api/spec.md:14-16,Codex发现; 与RVW-03(DecisionService _deleted filter)属同类问题
RVW-10,P2,3,backend,Design scalable SSE emitter registry for multi-instance,SseEventService uses local CopyOnWriteArrayList — in multi-instance deployment events on Instance A won't reach clients on Instance B. Leverage existing RabbitMQ Fanout exchange for inter-instance broadcast.,SHALL support multi-instance SSE event broadcast via RabbitMQ Fanout exchange or equivalent pub/sub mechanism; single-instance behavior unchanged; ref: design.md:100,AUTOSERVER,D5 acknowledges migration to Redis pub/sub for scale (design.md:100); evaluate RabbitMQ Fanout as interim since RabbitMQ already provisioned; ref: Gemini发现,Single-instance SSE behavior unchanged; heartbeat/disconnect management preserved; ref: specs/sse-event-push/spec.md:22-36,未开始,未开始,未开始,未提交,,SseEventService.java; design.md:100; specs/sse-event-push/spec.md,Gemini发现; design.md:100已标注SSE连接限制风险; 当前单实例阶段可降低优先级
RVW-11,P2,3,backend,Replace CopyOnWriteArrayList with ConcurrentHashMap for SSE emitters,CopyOnWriteArrayList.remove() is O(N) per operation. High-concurrency disconnects cause CPU spikes with thousands of connections. ConcurrentHashMap provides O(1) add/remove.,"SHALL use ConcurrentHashMap<String, SseEmitter> for O(1) add/remove; emitter lifecycle callbacks (timeout/error/completion) preserved; validate: mvn test -Dtest=SseIntegrationTest",AUTOSERVER,Verify ConcurrentHashMap keying strategy (connection ID or user ID); ensure thread safety for broadcast iteration during concurrent modifications; ref: Gemini发现,SSE connection/disconnect behavior unchanged; heartbeat reaches all clients; ref: specs/sse-event-push/spec.md:22-36,未开始,未开始,未开始,未提交,,SseEventService.java; specs/sse-event-push/spec.md:22-36,Gemini发现; 与RVW-10(注册表可扩展性)可合并重构
RVW-12,P2,3,backend,Use native RabbitMQ DLQ routing instead of manual republish,"PostConsumer manually routes failed messages to DLX via rabbitTemplate, but RabbitMqConfig already defines x-dead-letter-exchange on the queue. Use channel.basicReject(deliveryTag, false) to trigger native DLQ mechanism and remove manual routing code.",WHEN message fails after max retries → THEN routed to DLQ via native x-dead-letter-exchange (not manual republish); SHALL remove manual DLQ routing code from PostConsumer; ref: specs/async-post-pipeline/spec.md:29-34; validate: mvn test -Dtest=AsyncPostPipelineIntegrationTest,AUTOSERVER,Verify native DLQ routing activated by basicReject; confirm DLQ message headers contain failure context for investigation; ref: Gemini发现,Failed messages still reach DLQ; DLQ message payload intact for manual investigation; consumer processes valid messages normally; ref: specs/async-post-pipeline/spec.md:29-34,未开始,未开始,未开始,未提交,,PostConsumer.java; RabbitMqConfig.java; specs/async-post-pipeline/spec.md:29-34,Gemini发现; 与RVW-05(重试退避)关联建议合并修复
